delay,degree,conditions,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,visualstimulus.started,line1.started,line1.stopped,visualstimulus.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,120,exp,0,0,0,11,0.03844809999282006,,0.016952399993897416,0.03844809999282006,1.023409499990521,1.023409499990521,1.041441199995461,1.7441867999878014,space,0.7165785999968648,None,1.7477765999938129,2.457577199995285,2.8067885999917053,2.7427614999905927,2.7428217999986373,2.8067885999917053,2.8067885999917053,2.8067885999917053,6.6742199000000255,300,1,[3.9259522999927867],[3.9259763000009116],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.7,60,unexp,0,1,1,2,6.690781799989054,,6.67795009999827,6.690781799989054,7.689737499997136,7.689737499997136,7.70688749999681,8.55913999999757,space,0.8558633000066038,None,8.5609456999955,9.273839799992857,9.620769399989513,9.575320499992813,9.575382899987744,9.620769399989513,9.620769399989513,9.620769399989513,12.50589799998852,500,1,[2.9254090000031283],[2.925434100005077],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.1,60,unexp,0,2,2,0,12.521494399989024,,12.508310799996252,12.521494399989024,13.521968299988657,13.521968299988657,13.521968299988657,14.674000200000592,space,1.1451906000002054,None,14.67578359998879,14.788790299993707,15.13544230000116,15.090581500000553,15.090666799995233,15.13544230000116,15.13544230000116,15.13544230000116,17.90457479999168,100,1,[2.8085494999977527],[2.808573400005116],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.4,120,exp,0,3,3,7,17.920037799995043,,17.90693199999805,17.920037799995043,18.919283499999437,18.919283499999437,18.919283499999437,20.521829599994817,space,1.5872101999993902,None,20.52289509998809,20.935060899995733,21.266875699991942,21.220356099991477,21.220413799994276,21.266875699991942,21.266875699991942,21.266875699991942,25.044035899991286,100,1,[3.8190142000094056],[3.819052600010764],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.4,60,unexp,0,4,4,1,25.072737299997243,,25.046697300000233,25.072737299997243,26.05048999999417,26.05048999999417,26.083413499989547,27.170657700000447,space,1.1159517000050982,None,27.1723278999998,27.58399269999063,27.914941399998497,27.868351899989648,27.868412499999977,27.914941399998497,27.914941399998497,27.914941399998497,31.000087699998403,50,1,[3.127549299999373],[3.1275735999952303],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.1,120,exp,0,5,5,6,31.015626899999916,,31.002578599989647,31.015626899999916,32.01562779999222,32.01562779999222,32.01562779999222,32.552106199989794,space,0.5221130999998422,None,32.55324499998824,32.66521229999489,32.99653309999849,32.94982009999512,32.94987779999792,32.99653309999849,32.99653309999849,32.99653309999849,36.2675167999987,30,1,[3.3133361999935005],[3.3133658000006108],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.1,120,exp,0,6,6,9,36.29528510000091,,36.270529999994324,36.29528510000091,37.28066799999215,37.28066799999215,37.297260199993616,39.1158146999951,space,1.820145700010471,None,39.11697649999405,39.229761199996574,39.56113599998935,39.51461629998812,39.5146734000009,39.56113599998935,39.56113599998935,39.56113599998935,42.01648869999917,100,1,[2.4974672999960603],[2.497493000002578],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.4,120,exp,0,7,7,4,42.04375959999743,,42.01925979999942,42.04375959999743,43.0289053000015,43.0289053000015,43.04581199999666,43.59786909999093,space,0.5648835000029067,None,43.599035999999614,44.01247760000115,44.34299330000067,44.29771389999951,44.29779250000138,44.34299330000067,44.34299330000067,44.34299330000067,46.461699099992984,100,1,[2.1597209999890765],[2.159743799988064],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.1,120,exp,0,8,8,3,46.47751199999766,,46.46416579998913,46.47751199999766,47.4771682999999,47.4771682999999,47.4771682999999,47.89423059999535,space,0.3888088000094285,None,47.89535989999422,48.010318399989046,48.3417960999941,48.295818400001735,48.29591190000065,48.3417960999941,48.3417960999941,48.3417960999941,50.87969059999159,50,1,[2.579142000002321],[2.5791678000096],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.7,120,exp,0,9,9,5,50.90752470000007,,50.882633599991095,50.90752470000007,51.892873599994346,51.892873599994346,51.90931339999952,52.42805859999498,space,0.5269694000016898,None,52.42919899999106,53.142241299996385,53.47335010000097,53.42757349999738,53.42763720000221,53.47335010000097,53.47335010000097,53.47335010000097,56.295149799989304,300,1,[2.862606800001231],[2.8626377000036882],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
